"Step","a3c_runseed=4 - training/episode/reward","a3c_runseed=4 - training/episode/reward__MIN","a3c_runseed=4 - training/episode/reward__MAX","a3c_runseed=3 - training/episode/reward","a3c_runseed=3 - training/episode/reward__MIN","a3c_runseed=3 - training/episode/reward__MAX","a3c_runseed=2 - training/episode/reward","a3c_runseed=2 - training/episode/reward__MIN","a3c_runseed=2 - training/episode/reward__MAX","a3c_runseed=1 - training/episode/reward","a3c_runseed=1 - training/episode/reward__MIN","a3c_runseed=1 - training/episode/reward__MAX","a3c_runseed=0 - training/episode/reward","a3c_runseed=0 - training/episode/reward__MIN","a3c_runseed=0 - training/episode/reward__MAX"
"17152","4731","4731","4731","","","","","","","","","","","",""
"39360","","","","","","","4384","4384","4384","","","","","",""
"58048","","","","","","","","","","4092","4092","4092","","",""
"73472","","","","","","","","","","3851","3851","3851","","",""
"74816","3830","3830","3830","","","","","","","","","","","",""
"77504","","","","","","","3788","3788","3788","","","","","",""
"82624","","","","","","","","","","","","","3708","3708","3708"
"88704","3613","3613","3613","","","","","","","","","","","",""
"89664","3598","3598","3598","","","","","","","","","","","",""
"90432","","","","","","","","","","","","","3586","3586","3586"
"94400","3524","3524","3524","","","","","","","","","","","",""
"98752","","","","3456","3456","3456","","","","","","","","",""
"100416","","","","","","","3430","3430","3430","","","","","",""
"100672","","","","","","","","","","","","","3426","3426","3426"
"102720","3394","3394","3394","","","","","","","","","","","",""
"103488","","","","3382","3382","3382","3382","3382","3382","","","","","",""
"105152","","","","","","","","","","3605","3605","3605","","",""
"107264","3323","3323","3323","","","","","","","","","","","",""
"110912","","","","","","","","","","3266","3266","3266","","",""
"111680","","","","","","","3254","3254","3254","","","","","",""
"112448","","","","","","","3242","3242","3242","","","","","",""
"114944","","","","","","","4329","4329","4329","","","","","",""
"116864","","","","","","","3173","3173","3173","","","","","",""
"117952","3156","3156","3156","","","","","","","","","","","",""
"118080","3154","3154","3154","","","","","","","","","","","",""
"119168","","","","","","","","","","3137","3137","3137","","",""
"119360","","","","","","","","","","3134","3134","3134","","",""
"122816","","","","","","","","","","3988","3988","3988","","",""
"127232","3011","3011","3011","","","","","","","","","","","",""
"128448","","","","","","","2992","2992","2992","","","","","",""
"130688","","","","","","","","","","","","","2957","2957","2957"
"131904","","","","","","","2938","2938","2938","","","","","",""
"133952","","","","","","","2906","2906","2906","","","","","",""
"149568","","","","","","","4567","4567","4567","","","","","",""
"150784","","","","","","","","","","","","","2643","2643","2643"
"151680","","","","","","","2629","2629","2629","","","","","",""
"152128","","","","","","","","","","","","","2622","2622","2622"
"155392","","","","2571","2571","2571","","","","","","","","",""
"155840","","","","","","","","","","","","","2564","2564","2564"
"157440","","","","","","","2539","2539","2539","","","","","",""
"163328","","","","","","","","","","","","","2447","2447","2447"
"171904","","","","","","","","","","2313","2313","2313","","",""
"172352","","","","","","","2306","2306","2306","","","","","",""
"172992","","","","2296","2296","2296","","","","","","","","",""
"173120","4268","4268","4268","","","","","","","","","","","",""
"179136","","","","","","","","","","","","","2200","2200","2200"
"185664","","","","","","","","","","","","","3390","3390","3390"
"186432","2086","2086","2086","","","","","","","","","","","",""
"187328","","","","2072","2072","2072","","","","","","","","",""
"196736","1925","1925","1925","","","","","","","","","","","",""
"197056","","","","","","","1920","1920","1920","","","","","",""
"206784","1768","1768","1768","","","","","","","","","","","",""
"207552","1756","1756","1756","","","","","","","","","","","",""
"213696","1660","1660","1660","","","","","","","","","","","",""
"218240","","","","4039","4039","4039","","","","","","","","",""
"222528","","","","","","","","","","","","","3539","3539","3539"
"223168","","","","","","","2724","2724","2724","","","","","",""
"224448","4360","4360","4360","","","","","","","","","","","",""
"225920","","","","1469","1469","1469","","","","","","","","",""
"227136","","","","","","","","","","","","","4352","4352","4352"
"230016","","","","","","","","","","","","","1405","1405","1405"
"230720","","","","1394","1394","1394","","","","","","","","",""
"230848","","","","","","","","","","3514","3514","3514","","",""
"231936","","","","1375","1375","1375","","","","","","","","",""
"232000","","","","","","","","","","","","","1374","1374","1374"
"232512","","","","","","","","","","","","","4048","4048","4048"
"238976","","","","","","","","","","","","","1265","1265","1265"
"244480","","","","","","","","","","1179","1179","1179","","",""
"245440","","","","","","","","","","","","","1164","1164","1164"
"248512","","","","","","","1116","1116","1116","","","","","",""
"249856","1095","1095","1095","","","","","","","","","","","",""
"262400","","","","","","","","","","899","899","899","","",""
"263808","","","","","","","","","","","","","877","877","877"
"267712","816","816","816","","","","","","","","","","","",""
"270016","","","","","","","","","","","","","780","780","780"
"276480","","","","","","","","","","","","","679","679","679"
"282368","","","","","","","","","","","","","587","587","587"
"282688","","","","","","","","","","","","","582","582","582"
"285440","539","539","539","","","","","","","","","","","",""
"287552","","","","","","","","","","506","506","506","","",""
"292992","","","","","","","","","","3738","3738","3738","","",""
"294656","","","","","","","","","","","","","2471","2471","2471"
"300288","","","","","","","","","","","","","2501","2501","2501"
"304768","","","","","","","","","","3516","3516","3516","","",""
"314304","","","","","","","","","","","","","88","88","88"
"316480","","","","54","54","54","","","","","","","","",""
"319936","","","","-5000","-5000","-5000","-5000","-5000","-5000","","","","-5000","-5000","-5000"
"321408","","","","","","","","","","1840","1840","1840","","",""
"322496","","","","","","","","","","","","","2003","2003","2003"
"324288","","","","2647","2647","2647","","","","","","","","",""
"325824","","","","","","","","","","3588","3588","3588","","",""
"327936","","","","","","","-5000","-5000","-5000","","","","","",""
"334848","","","","1311","1311","1311","","","","","","","","",""
"336448","","","","","","","309","309","309","","","","","",""
"346496","","","","","","","","","","","","","4585","4585","4585"
"347904","","","","","","","","","","-5000","-5000","-5000","","",""
"348480","","","","","","","","","","","","","4554","4554","4554"
"353408","-5000","-5000","-5000","","","","","","","","","","","",""
"355968","","","","","","","4437","4437","4437","","","","","",""
"357824","","","","","","","","","","","","","3262","3262","3262"
"358976","4390","4390","4390","","","","","","","","","","","",""
"363904","","","","","","","","","","4313","4313","4313","","",""
"365376","","","","2411","2411","2411","","","","","","","","",""
"366912","","","","","","","","","","3760","3760","3760","","",""
"378944","","","","","","","","","","","","","2673","2673","2673"
"383616","","","","","","","","","","-5000","-5000","-5000","","",""
"385152","-5000","-5000","-5000","","","","","","","","","","","",""
"387200","","","","","","","","","","3949","3949","3949","","",""
"391360","","","","","","","","","","","","","-5000","-5000","-5000"
"392704","3858","3858","3858","","","","","","","","","","","",""
"394816","-5000","-5000","-5000","","","","","","","","","","","",""
"394944","","","","","","","","","","3828","3828","3828","","",""
"396032","","","","","","","","","","3903","3903","3903","","",""
"402368","","","","","","","","","","","","","3712","3712","3712"
"408064","3267","3267","3267","","","","","","","","","","","",""
"408320","","","","","","","","","","485","485","485","","",""
"408512","","","","-5000","-5000","-5000","","","","","","","","",""
"408704","-5000","-5000","-5000","","","","","","","","","","","",""
"408960","","","","","","","","","","","","","-5000","-5000","-5000"
"410368","","","","","","","3587","3587","3587","","","","","",""
"410560","","","","","","","3584","3584","3584","","","","","",""
"410624","","","","","","","","","","","","","2904","2904","2904"
"416832","","","","","","","","","","","","","-5000","-5000","-5000"
"417536","","","","","","","","","","78","78","78","","",""
"418368","","","","","","","2346","2346","2346","","","","","",""
"420672","","","","","","","","","","","","","-5000","-5000","-5000"
"422080","","","","","","","","","","","","","2139","2139","2139"
"423488","","","","-5000","-5000","-5000","","","","","","","","",""
"428608","","","","138","138","138","","","","","","","","",""
