"Step","baseline_runseed=4 - training/episode/length","baseline_runseed=4 - training/episode/length__MIN","baseline_runseed=4 - training/episode/length__MAX","baseline_runseed=3 - training/episode/length","baseline_runseed=3 - training/episode/length__MIN","baseline_runseed=3 - training/episode/length__MAX","baseline_runseed=2 - training/episode/length","baseline_runseed=2 - training/episode/length__MIN","baseline_runseed=2 - training/episode/length__MAX","baseline_runseed=1 - training/episode/length","baseline_runseed=1 - training/episode/length__MIN","baseline_runseed=1 - training/episode/length__MAX","baseline_runseed=0 - training/episode/length","baseline_runseed=0 - training/episode/length__MIN","baseline_runseed=0 - training/episode/length__MAX"
"25152","394","394","394","","","","","","","","","","","",""
"30976","","","","","","","485","485","485","","","","","",""
"34880","","","","","","","546","546","546","","","","","",""
"39360","","","","","","","","","","","","","616","616","616"
"39424","","","","","","","","","","","","","617","617","617"
"44544","","","","697","697","697","","","","","","","","",""
"52800","","","","","","","826","826","826","","","","","",""
"53504","","","","","","","","","","837","837","837","","",""
"55552","","","","","","","869","869","869","","","","","",""
"62016","","","","","","","","","","","","","354","354","354"
"67392","","","","","","","1054","1054","1054","","","","","",""
"70528","1103","1103","1103","","","","","","","","","","","",""
"75648","","","","","","","","","","1183","1183","1183","","",""
"81344","1272","1272","1272","","","","","","","","","","","",""
"82880","","","","","","","","","","1296","1296","1296","","",""
"84800","","","","","","","1326","1326","1326","1326","1326","1326","","",""
"85568","","","","","","","1338","1338","1338","","","","","",""
"85760","","","","","","","1341","1341","1341","","","","","",""
"87104","1362","1362","1362","","","","","","","","","","","",""
"88512","1384","1384","1384","","","","","","","","","","","",""
"89152","","","","","","","1394","1394","1394","","","","","",""
"89344","","","","1397","1397","1397","","","","","","","","",""
"91456","","","","","","","1430","1430","1430","","","","","",""
"91712","1434","1434","1434","","","","","","","","","","","",""
"93184","1457","1457","1457","","","","","","","","","","","",""
"93504","","","","1462","1462","1462","","","","","","","","",""
"94400","","","","","","","1476","1476","1476","","","","","",""
"95744","","","","1497","1497","1497","","","","","","","","",""
"98048","","","","1533","1533","1533","","","","","","","","",""
"99392","1554","1554","1554","","","","","","","","","","","",""
