"Step","baseline_runseed=4 - training/episode/reward","baseline_runseed=4 - training/episode/reward__MIN","baseline_runseed=4 - training/episode/reward__MAX","baseline_runseed=3 - training/episode/reward","baseline_runseed=3 - training/episode/reward__MIN","baseline_runseed=3 - training/episode/reward__MAX","baseline_runseed=2 - training/episode/reward","baseline_runseed=2 - training/episode/reward__MIN","baseline_runseed=2 - training/episode/reward__MAX","baseline_runseed=1 - training/episode/reward","baseline_runseed=1 - training/episode/reward__MIN","baseline_runseed=1 - training/episode/reward__MAX","baseline_runseed=0 - training/episode/reward","baseline_runseed=0 - training/episode/reward__MIN","baseline_runseed=0 - training/episode/reward__MAX"
"25152","4606","4606","4606","","","","","","","","","","","",""
"30976","","","","","","","4515","4515","4515","","","","","",""
"34880","","","","","","","4454","4454","4454","","","","","",""
"39424","","","","","","","","","","","","","4383","4383","4383"
"44544","","","","4303","4303","4303","","","","","","","","",""
"52800","","","","","","","4174","4174","4174","","","","","",""
"53504","","","","","","","","","","4163","4163","4163","","",""
"55552","","","","","","","4131","4131","4131","","","","","",""
"67392","","","","","","","3946","3946","3946","","","","","",""
"70528","3897","3897","3897","","","","","","","","","","","",""
"75648","","","","","","","","","","3817","3817","3817","","",""
"81344","3728","3728","3728","","","","","","","","","","","",""
"82880","","","","","","","","","","3704","3704","3704","","",""
"84800","","","","","","","3674","3674","3674","3674","3674","3674","","",""
"85568","","","","","","","3662","3662","3662","","","","","",""
"85760","","","","","","","3659","3659","3659","","","","","",""
"87104","3638","3638","3638","","","","","","","","","","","",""
"88512","3616","3616","3616","","","","","","","","","","","",""
"89152","","","","","","","3606","3606","3606","","","","","",""
"89344","","","","3603","3603","3603","","","","","","","","",""
"91456","","","","","","","3570","3570","3570","","","","","",""
"91712","3566","3566","3566","","","","","","","","","","","",""
"93184","3543","3543","3543","","","","","","","","","","","",""
"93504","","","","3538","3538","3538","","","","","","","","",""
"94400","","","","","","","3524","3524","3524","","","","","",""
"95744","","","","3503","3503","3503","","","","","","","","",""
"98048","","","","3467","3467","3467","","","","","","","","",""
"99392","3446","3446","3446","","","","","","","","","","","",""
"100096","3435","3435","3435","","","","","","","","","","","",""
"104128","3372","3372","3372","","","","","","","","","","","",""
"104576","","","","3365","3365","3365","","","","","","","","",""
"109248","3292","3292","3292","","","","","","","","","","","",""
"110016","3280","3280","3280","","","","","","","","","","","",""
"110208","","","","","","","3277","3277","3277","","","","","",""
"111808","3252","3252","3252","","","","","","","","","","","",""
"112384","","","","","","","3243","3243","3243","","","","","",""
"112768","","","","","","","","","","3237","3237","3237","","",""
"115904","","","","","","","3188","3188","3188","","","","","",""
"118336","","","","","","","3150","3150","3150","","","","","",""
"120448","","","","3117","3117","3117","","","","","","","","",""
"120768","","","","3112","3112","3112","","","","","","","","",""
"120832","3111","3111","3111","","","","","","","","","","","",""
"124416","","","","3055","3055","3055","3055","3055","3055","","","","","",""
"127680","","","","3004","3004","3004","","","","","","","","",""
"129984","","","","","","","","","","2968","2968","2968","","",""
"130688","","","","","","","2957","2957","2957","","","","","",""
"134144","","","","","","","","","","2903","2903","2903","","",""
"135104","","","","","","","2888","2888","2888","","","","","",""
"135552","2881","2881","2881","","","","","","","","","","","",""
"136064","","","","","","","","","","2873","2873","2873","","",""
"140224","","","","2808","2808","2808","","","","","","","","",""
"141568","","","","2787","2787","2787","","","","","","","","",""
"143424","","","","","","","","","","2758","2758","2758","","",""
"144768","","","","2737","2737","2737","","","","","","","","",""
"146688","2707","2707","2707","","","","","","","","","","","",""
"147776","","","","","","","2690","2690","2690","","","","","",""
"147968","","","","","","","2687","2687","2687","","","","","",""
"148352","2681","2681","2681","","","","","","","","","","","",""
"150080","","","","","","","2654","2654","2654","","","","","",""
"152640","","","","","","","","","","2614","2614","2614","","",""
"155520","","","","","","","2569","2569","2569","","","","","",""
"155776","2565","2565","2565","","","","","","","","","","","",""
"156864","2548","2548","2548","","","","","","","","","","","",""
"162112","2466","2466","2466","","","","","","","","","","","",""
"162496","2460","2460","2460","","","","","","","","","","","",""
"164288","2432","2432","2432","","","","","","","","","","","",""
"168448","","","","","","","","","","2367","2367","2367","","",""
"172672","","","","","","","2301","2301","2301","","","","","",""
"173632","","","","2286","2286","2286","","","","","","","","",""
"174272","","","","","","","","","","2276","2276","2276","","",""
"176576","2240","2240","2240","","","","","","","","","","","",""
"178752","","","","","","","2206","2206","2206","","","","","",""
"179392","2196","2196","2196","","","","","","","","","","","",""
"183552","","","","","","","","","","2131","2131","2131","","",""
"186304","","","","","","","","","","2088","2088","2088","","",""
"186880","2079","2079","2079","","","","","","","","","","","",""
"187712","","","","2066","2066","2066","","","","","","","","",""
"187904","","","","","","","","","","2063","2063","2063","","",""
"190656","","","","","","","2020","2020","2020","","","","","",""
"191680","","","","","","","","","","2004","2004","2004","","",""
"192128","","","","","","","2482","2482","2482","","","","","",""
"193088","","","","","","","","","","","","","1982","1982","1982"
"193856","3678","3678","3678","","","","","","","","","","","",""
"195008","1952","1952","1952","","","","","","","","","","","",""
"195520","","","","1944","1944","1944","","","","","","","","",""
"195776","","","","1940","1940","1940","","","","","","","","",""
"197184","","","","","","","","","","1918","1918","1918","","",""
"200960","","","","","","","","","","1859","1859","1859","","",""
"201024","1858","1858","1858","","","","","","","","","","","",""
"205248","","","","","","","1792","1792","1792","","","","","",""
"206400","1774","1774","1774","","","","","","","","","","","",""
"209024","","","","","","","1733","1733","1733","","","","","",""
"209600","","","","","","","3062","3062","3062","","","","","",""
"212992","","","","3168","3168","3168","","","","","","","","",""
"214336","3539","3539","3539","","","","","","","","","","","",""
"217984","","","","","","","","","","3835","3835","3835","","",""
"219008","1577","1577","1577","","","","","","","","","","","",""
"220032","","","","","","","1561","1561","1561","","","","","",""
"221952","","","","","","","1531","1531","1531","","","","","",""
"223488","","","","1507","1507","1507","","","","","","","","",""
"226304","","","","","","","3506","3506","3506","","","","","",""
"226944","","","","","","","3176","3176","3176","","","","","",""
"230016","3033","3033","3033","","","","","","","","","","","",""
"231424","","","","","","","3140","3140","3140","","","","","",""
"232128","","","","","","","","","","3499","3499","3499","","",""
"234176","","","","","","","","","","1340","1340","1340","","",""
"235072","","","","2961","2961","2961","","","","","","","","",""
"235328","1322","1322","1322","","","","","","","","","","","",""
"238336","","","","","","","1275","1275","1275","","","","","",""
"239040","","","","","","","","","","2590","2590","2590","","",""
"243968","","","","","","","","","","","","","1187","1187","1187"
"244928","","","","","","","","","","1172","1172","1172","","",""
"245952","","","","1156","1156","1156","","","","","","","","",""
"247616","","","","","","","1130","1130","1130","","","","","",""
"250432","","","","","","","","","","1086","1086","1086","","",""
"252608","","","","","","","","","","1052","1052","1052","","",""
"252800","","","","","","","4316","4316","4316","","","","","",""
"254848","","","","1017","1017","1017","","","","","","","","",""
"259264","948","948","948","","","","","","","","","","","",""
