"Step","melting_runseed=4 - training/episode/reward","melting_runseed=4 - training/episode/reward__MIN","melting_runseed=4 - training/episode/reward__MAX","melting_runseed=3 - training/episode/reward","melting_runseed=3 - training/episode/reward__MIN","melting_runseed=3 - training/episode/reward__MAX","melting_runseed=2 - training/episode/reward","melting_runseed=2 - training/episode/reward__MIN","melting_runseed=2 - training/episode/reward__MAX","melting_runseed=1 - training/episode/reward","melting_runseed=1 - training/episode/reward__MIN","melting_runseed=1 - training/episode/reward__MAX","melting_runseed=0 - training/episode/reward","melting_runseed=0 - training/episode/reward__MIN","melting_runseed=0 - training/episode/reward__MAX"
"21824","","","","","","","","","","4658","4658","4658","","",""
"31744","4503","4503","4503","","","","","","","4503","4503","4503","","",""
"48768","","","","","","","","","","","","","4237","4237","4237"
"62080","","","","","","","","","","4029","4029","4029","","",""
"64256","","","","","","","3995","3995","3995","","","","","",""
"64320","","","","3994","3994","3994","","","","","","","","",""
"86144","","","","","","","4682","4682","4682","","","","","",""
"104000","","","","","","","3374","3374","3374","","","","","",""
"106816","","","","","","","3330","3330","3330","","","","","",""
"121984","","","","","","","3093","3093","3093","","","","","",""
"122624","","","","","","","3083","3083","3083","","","","","",""
"128256","","","","","","","","","","2995","2995","2995","","",""
"134400","","","","2899","2899","2899","","","","","","","","",""
"137088","2857","2857","2857","","","","","","","","","","","",""
"141376","2790","2790","2790","","","","","","","","","","","",""
"141440","","","","2789","2789","2789","","","","","","","","",""
"145792","2721","2721","2721","","","","","","","","","","","",""
"159360","","","","2509","2509","2509","","","","","","","","",""
"160128","","","","2497","2497","2497","","","","","","","","",""
"169984","","","","2343","2343","2343","","","","","","","","",""
"176256","2245","2245","2245","","","","","","","","","","","",""
"177920","","","","4758","4758","4758","","","","","","","","",""
"180352","2181","2181","2181","","","","","","","","","","","",""
"183360","2134","2134","2134","","","","","","","","","","","",""
"185728","","","","2097","2097","2097","","","","","","","","",""
"192704","","","","","","","1988","1988","1988","","","","","",""
"193856","","","","","","","","","","","","","1970","1970","1970"
"194752","","","","","","","1956","1956","1956","","","","","",""
"202304","","","","","","","","","","","","","1838","1838","1838"
"210560","","","","1709","1709","1709","","","","","","","","",""
"214144","","","","3754","3754","3754","","","","","","","","",""
"217280","","","","","","","","","","1604","1604","1604","","",""
"224448","","","","","","","","","","","","","1492","1492","1492"
"224640","","","","","","","","","","","","","1489","1489","1489"
"225152","","","","1481","1481","1481","","","","","","","","",""
"229184","","","","","","","","","","1418","1418","1418","","",""
"232448","","","","","","","","","","1367","1367","1367","","",""
"235456","","","","","","","","","","1320","1320","1320","","",""
"239104","","","","3564","3564","3564","","","","","","","","",""
"240512","","","","","","","","","","1241","1241","1241","","",""
"240768","","","","","","","","","","1237","1237","1237","","",""
"241856","","","","3872","3872","3872","","","","","","","","",""
"243200","1199","1199","1199","","","","","","","","","","","",""
"245888","1157","1157","1157","","","","","","","","","","","",""
"248576","","","","","","","","","","1115","1115","1115","","",""
"250304","","","","1088","1088","1088","","","","","","","","",""
"253440","","","","","","","","","","1689","1689","1689","","",""
"254464","1023","1023","1023","","","","","","","","","","","",""
"281472","","","","","","","","","","601","601","601","","",""
"281984","","","","","","","","","","4226","4226","4226","","",""
"305408","","","","","","","","","","227","227","227","","",""
"312512","","","","","","","","","","116","116","116","","",""
"319936","-5000","-5000","-5000","","","","","","","","","","","",""
"320384","944","944","944","","","","","","","","","","","",""
"351104","","","","","","","","","","","","","-5000","-5000","-5000"
"351744","-5000","-5000","-5000","","","","","","","-5000","-5000","-5000","","",""
"354880","-5000","-5000","-5000","","","","","","","","","","","",""
"361280","3197","3197","3197","","","","","","","","","","","",""
"366528","","","","","","","","","","-5000","-5000","-5000","","",""
"379904","","","","","","","","","","","","","-5000","-5000","-5000"
"384320","","","","-5000","-5000","-5000","","","","","","","","",""
"388928","","","","","","","","","","","","","-5000","-5000","-5000"
"404416","","","","-5000","-5000","-5000","","","","","","","","",""
"411392","","","","","","","3571","3571","3571","","","","","",""
"414720","","","","","","","3519","3519","3519","","","","","",""
"415488","","","","","","","3507","3507","3507","","","","","",""
"416832","","","","","","","2184","2184","2184","","","","","",""
"417792","","","","-5000","-5000","-5000","","","","","","","","",""
"419840","","","","","","","3439","3439","3439","","","","","",""
"420224","","","","","","","4739","4739","4739","","","","","",""
"428992","","","","","","","3296","3296","3296","","","","","",""
"433152","","","","","","","-5000","-5000","-5000","","","","","",""
"438144","","","","","","","3153","3153","3153","","","","","",""
"440192","","","","","","","","","","","","","3121","3121","3121"
"444736","","","","","","","3050","3050","3050","","","","","",""
"446016","","","","","","","4737","4737","4737","","","","","",""
"451264","-5000","-5000","-5000","","","","","","","","","","","",""
"453184","","","","","","","","","","","","","4658","4658","4658"
"453504","","","","","","","","","","","","","3850","3850","3850"
"469952","","","","","","","","","","","","","2656","2656","2656"
"471680","","","","","","","","","","1291","1291","1291","","",""
"475328","","","","","","","2572","2572","2572","","","","","",""
"477824","","","","-5000","-5000","-5000","","","","","","","","",""
"483008","","","","","","","2452","2452","2452","","","","","",""
"483072","","","","","","","","","","483","483","483","","",""
"484928","","","","","","","","","","","","","2422","2422","2422"
"487744","","","","-5000","-5000","-5000","","","","","","","","",""
"489984","","","","-5000","-5000","-5000","","","","","","","","",""
"497344","","","","","","","","","","","","","2228","2228","2228"
"501952","","","","","","","","","","","","","2156","2156","2156"
"503488","","","","","","","","","","","","","2132","2132","2132"
"504960","","","","","","","","","","","","","3988","3988","3988"
"506432","-5000","-5000","-5000","","","","","","","","","","3633","3633","3633"
"508032","","","","-5000","-5000","-5000","","","","","","","","",""
"509888","","","","-5000","-5000","-5000","","","","","","","","",""
"511808","","","","","","","","","","","","","2002","2002","2002"
"512512","","","","","","","3558","3558","3558","","","","","",""
"513856","","","","","","","","","","","","","-5000","-5000","-5000"
"514752","","","","","","","-5000","-5000","-5000","","","","","",""
"515584","","","","","","","","","","-5000","-5000","-5000","","",""
"517120","","","","","","","","","","-5000","-5000","-5000","","",""
"517824","","","","","","","-5000","-5000","-5000","","","","","",""
"519616","","","","","","","","","","1238","1238","1238","","",""
"523008","","","","","","","","","","2799","2799","2799","","",""
"523456","-5000","-5000","-5000","","","","","","","","","","","",""
"524928","","","","","","","1797","1797","1797","","","","","",""
"526528","","","","","","","","","","1772","1772","1772","","",""
"531712","","","","","","","","","","-5000","-5000","-5000","","",""
"535552","","","","4363","4363","4363","","","","","","","","",""
"538176","","","","","","","","","","","","","-5000","-5000","-5000"
"544448","","","","","","","","","","","","","-5000","-5000","-5000"
"553344","-5000","-5000","-5000","","","","","","","","","","","",""
"555584","","","","1318","1318","1318","","","","","","","","",""
"555776","","","","-5000","-5000","-5000","","","","","","","","",""
"556544","","","","","","","","","","1054","1054","1054","","",""
"556928","","","","4666","4666","4666","","","","","","","","",""
"559488","","","","","","","","","","1257","1257","1257","","",""
"560512","","","","","","","","","","-5000","-5000","-5000","","",""
"560640","","","","99","99","99","","","","","","","","",""
"564608","","","","","","","","","","1177","1177","1177","","",""
"569856","","","","1095","1095","1095","","","","","","","","",""
"570304","","","","-5000","-5000","-5000","","","","","","","","",""
"581888","","","","","","","907","907","907","","","","","",""
"587328","822","822","822","","","","","","","","","","","",""
"587456","","","","4104","4104","4104","","","","","","","","",""
"587584","","","","","","","","","","","","","3757","3757","3757"
"594880","704","704","704","","","","","","","","","","","",""
"596544","3857","3857","3857","","","","","","","","","","","",""
"601472","","","","","","","","","","-5000","-5000","-5000","","",""
