"Step","melting_self_runseed=4 - training/episode/reward","melting_self_runseed=4 - training/episode/reward__MIN","melting_self_runseed=4 - training/episode/reward__MAX","melting_self_runseed=3 - training/episode/reward","melting_self_runseed=3 - training/episode/reward__MIN","melting_self_runseed=3 - training/episode/reward__MAX","melting_self_runseed=2 - training/episode/reward","melting_self_runseed=2 - training/episode/reward__MIN","melting_self_runseed=2 - training/episode/reward__MAX","melting_self_runseed=1 - training/episode/reward","melting_self_runseed=1 - training/episode/reward__MIN","melting_self_runseed=1 - training/episode/reward__MAX","melting_self_runseed=0 - training/episode/reward","melting_self_runseed=0 - training/episode/reward__MIN","melting_self_runseed=0 - training/episode/reward__MAX"
"31488","","","","","","","","","","4507","4507","4507","","",""
"31744","4503","4503","4503","","","","","","","","","","","",""
"34880","4454","4454","4454","","","","","","","","","","","",""
"38144","","","","4403","4403","4403","","","","","","","","",""
"46528","","","","","","","","","","4272","4272","4272","","",""
"47552","","","","","","","","","","4256","4256","4256","","",""
"59008","","","","","","","","","","","","","4077","4077","4077"
"59904","","","","","","","","","","","","","4063","4063","4063"
"61120","","","","4044","4044","4044","","","","","","","","",""
"64320","","","","3994","3994","3994","","","","","","","","",""
"65792","","","","","","","3971","3971","3971","","","","","",""
"83712","","","","","","","3691","3691","3691","","","","","",""
"97792","","","","3471","3471","3471","","","","","","","","",""
"100160","","","","","","","3434","3434","3434","","","","","",""
"100800","","","","","","","3424","3424","3424","","","","","",""
"110464","","","","","","","4575","4575","4575","","","","","",""
"113216","","","","","","","3230","3230","3230","","","","","",""
"113472","","","","","","","3226","3226","3226","","","","","",""
"126016","","","","","","","3030","3030","3030","","","","","",""
"128704","","","","","","","","","","2988","2988","2988","","",""
"129344","","","","","","","","","","","","","2978","2978","2978"
"134464","","","","2898","2898","2898","","","","","","","","",""
"140608","","","","4179","4179","4179","","","","","","","","",""
"141440","","","","2789","2789","2789","","","","","","","","",""
"143296","","","","2760","2760","2760","","","","","","","","",""
"149952","2656","2656","2656","","","","","","","","","","","",""
"151424","","","","2633","2633","2633","","","","","","","","",""
"158144","2528","2528","2528","","","","","","","","","","","",""
"164864","2423","2423","2423","","","","","","","","","","","",""
"165056","","","","4618","4618","4618","","","","","","","","",""
"175744","","","","2253","2253","2253","","","","","","","","",""
"177280","2229","2229","2229","","","","","","","","","","","",""
"178688","","","","2207","2207","2207","","","","","","","","",""
"185792","2096","2096","2096","","","","","","","","","","","",""
"186816","","","","2080","2080","2080","","","","","","","","",""
"188608","","","","2052","2052","2052","","","","","","","","",""
"199488","","","","","","","1882","1882","1882","","","","","",""
"203200","","","","4711","4711","4711","","","","","","","","",""
"203968","","","","","","","","","","","","","1812","1812","1812"
"204096","","","","","","","","","","1810","1810","1810","","",""
"205952","","","","","","","","","","","","","1781","1781","1781"
"206592","","","","","","","","","","1771","1771","1771","","",""
"211328","","","","1697","1697","1697","","","","","","","","",""
"217280","","","","","","","","","","1604","1604","1604","","",""
"217920","","","","","","","1594","1594","1594","","","","","",""
"218176","","","","4401","4401","4401","1590","1590","1590","","","","","",""
"218496","","","","","","","","","","","","","2291","2291","2291"
"222272","","","","","","","1526","1526","1526","","","","","",""
"226560","","","","","","","","","","","","","1459","1459","1459"
"227968","","","","","","","3003","3003","3003","","","","","",""
"230720","","","","","","","1394","1394","1394","","","","","",""
"232192","","","","1371","1371","1371","","","","","","","","",""
"233664","","","","1348","1348","1348","","","","","","","","",""
"239552","","","","1256","1256","1256","","","","","","","","",""
"240384","","","","1243","1243","1243","","","","","","","1243","1243","1243"
"241984","","","","","","","4221","4221","4221","","","","","",""
"242304","","","","","","","","","","","","","1213","1213","1213"
"246016","","","","1155","1155","1155","","","","","","","","",""
"246848","","","","1142","1142","1142","","","","","","","","",""
"247936","","","","","","","","","","","","","1125","1125","1125"
"249792","","","","","","","1096","1096","1096","","","","","",""
"250048","","","","","","","","","","","","","1092","1092","1092"
"253568","","","","1037","1037","1037","","","","","","","","",""
"317568","","","","","","","","","","781","781","781","","",""
"326848","2067","2067","2067","","","","","","","","","","","",""
