"Step","melting_softmax_runseed=4 - training/episode/length","melting_softmax_runseed=4 - training/episode/length__MIN","melting_softmax_runseed=4 - training/episode/length__MAX","melting_softmax_runseed=3 - training/episode/length","melting_softmax_runseed=3 - training/episode/length__MIN","melting_softmax_runseed=3 - training/episode/length__MAX","melting_softmax_runseed=2 - training/episode/length","melting_softmax_runseed=2 - training/episode/length__MIN","melting_softmax_runseed=2 - training/episode/length__MAX","melting_softmax_runseed=1 - training/episode/length","melting_softmax_runseed=1 - training/episode/length__MIN","melting_softmax_runseed=1 - training/episode/length__MAX","melting_softmax_runseed=0 - training/episode/length","melting_softmax_runseed=0 - training/episode/length__MIN","melting_softmax_runseed=0 - training/episode/length__MAX"
"26048","","","","","","","408","408","408","","","","","",""
"30400","","","","476","476","476","","","","","","","","",""
"49536","775","775","775","","","","","","","","","","","",""
"49664","","","","777","777","777","","","","","","","","",""
"51584","807","807","807","","","","","","","","","","","",""
"61696","","","","","","","965","965","965","","","","","",""
"64064","","","","1002","1002","1002","","","","","","","","",""
"65216","","","","","","","","","","1020","1020","1020","","",""
"66752","","","","1044","1044","1044","","","","","","","","",""
"67392","","","","","","","","","","1054","1054","1054","","",""
"67712","","","","1059","1059","1059","","","","","","","","",""
"68096","","","","","","","","","","1065","1065","1065","","",""
"73344","","","","","","","","","","1147","1147","1147","","",""
"79424","","","","","","","","","","1242","1242","1242","","",""
"80448","","","","","","","","","","1258","1258","1258","","",""
"81600","","","","1276","1276","1276","","","","","","","","",""
"85504","","","","","","","","","","1337","1337","1337","","",""
"87296","","","","","","","","","","1365","1365","1365","","",""
"87616","","","","","","","","","","1370","1370","1370","","",""
"92928","","","","","","","","","","1453","1453","1453","","",""
"94016","","","","","","","","","","1470","1470","1470","","",""
"98816","","","","1545","1545","1545","","","","","","","","",""
"100032","","","","","","","","","","364","364","364","","",""
"100160","","","","1566","1566","1566","","","","","","","","",""
"104832","","","","1639","1639","1639","","","","","","","","",""
"111104","","","","","","","","","","1737","1737","1737","","",""
"113344","","","","1772","1772","1772","","","","","","","","",""
"114496","","","","1790","1790","1790","","","","","","","","",""
"117120","","","","1831","1831","1831","","","","","","","","",""
"123968","","","","","","","","","","782","782","782","","",""
"126848","1983","1983","1983","","","","","","","","","","","",""
"188352","","","","","","","","","","","","","2944","2944","2944"
"193984","3032","3032","3032","","","","","","","","","","","",""
