"Step","melting_softmax_runseed=4 - training/episode/reward","melting_softmax_runseed=4 - training/episode/reward__MIN","melting_softmax_runseed=4 - training/episode/reward__MAX","melting_softmax_runseed=3 - training/episode/reward","melting_softmax_runseed=3 - training/episode/reward__MIN","melting_softmax_runseed=3 - training/episode/reward__MAX","melting_softmax_runseed=2 - training/episode/reward","melting_softmax_runseed=2 - training/episode/reward__MIN","melting_softmax_runseed=2 - training/episode/reward__MAX","melting_softmax_runseed=1 - training/episode/reward","melting_softmax_runseed=1 - training/episode/reward__MIN","melting_softmax_runseed=1 - training/episode/reward__MAX","melting_softmax_runseed=0 - training/episode/reward","melting_softmax_runseed=0 - training/episode/reward__MIN","melting_softmax_runseed=0 - training/episode/reward__MAX"
"26048","","","","","","","4592","4592","4592","","","","","",""
"30400","","","","4524","4524","4524","","","","","","","","",""
"33408","","","","4477","4477","4477","","","","","","","","",""
"61696","","","","","","","4035","4035","4035","","","","","",""
"65216","","","","","","","","","","3980","3980","3980","","",""
"66304","","","","3963","3963","3963","","","","","","","","",""
"66816","","","","","","","","","","3955","3955","3955","","",""
"67712","","","","3941","3941","3941","","","","","","","","",""
"68096","","","","","","","","","","3935","3935","3935","","",""
"69824","","","","","","","","","","3908","3908","3908","","",""
"73344","","","","","","","","","","3853","3853","3853","","",""
"74240","","","","3839","3839","3839","","","","","","","","",""
"78016","","","","3780","3780","3780","","","","","","","","",""
"87296","","","","","","","","","","3635","3635","3635","","",""
"87616","","","","","","","","","","3630","3630","3630","","",""
"90048","","","","3592","3592","3592","","","","","","","","",""
"98368","","","","","","","","","","4720","4720","4720","","",""
"98816","","","","3455","3455","3455","","","","","","","","",""
"101376","","","","3415","3415","3415","","","","","","","","",""
"101504","","","","","","","","","","3413","3413","3413","","",""
"104832","","","","3361","3361","3361","","","","","","","","",""
"105280","","","","","","","","","","3354","3354","3354","","",""
"113344","","","","3228","3228","3228","","","","","","","","",""
"117120","","","","3169","3169","3169","","","","","","","","",""
"125440","","","","3039","3039","3039","","","","","","","","",""
"126848","3017","3017","3017","","","","","","","","","","","",""
"127424","3008","3008","3008","","","","","","","","","","","",""
"129536","","","","","","","","","","","","","2975","2975","2975"
"166272","","","","","","","","","","","","","2401","2401","2401"
"192192","","","","","","","","","","","","","1996","1996","1996"
"192640","1989","1989","1989","","","","","","","","","","","",""
"194176","1965","1965","1965","","","","","","","","","","","",""
"215872","1626","1626","1626","","","","","","","","","","","",""
"221504","","","","","","","","","","","","","1538","1538","1538"
"230144","1403","1403","1403","","","","","","","","","","","",""
"235968","","","","","","","1312","1312","1312","","","","","",""
"241472","1226","1226","1226","","","","","","","","","","","",""
"261760","","","","","","","909","909","909","","","","","",""
"264448","","","","","","","867","867","867","","","","","",""
"268416","","","","","","","805","805","805","","","","","",""
"269184","","","","","","","793","793","793","","","","","",""
"271424","","","","","","","758","758","758","","","","","",""
"287488","","","","","","","507","507","507","","","","","",""
"291456","","","","","","","445","445","445","","","","","",""
"293632","","","","","","","411","411","411","","","","","",""
"302400","","","","","","","274","274","274","","","","","",""
"304256","","","","","","","245","245","245","","","","","",""
"310208","","","","","","","152","152","152","","","","","",""
"313408","","","","","","","102","102","102","","","","","",""
"313984","","","","","","","93","93","93","","","","","",""
"315648","","","","","","","67","67","67","","","","","",""
"319936","","","","-5000","-5000","-5000","-5000","-5000","-5000","","","","","",""
"323968","","","","974","974","974","","","","","","","","",""
"346048","","","","","","","-5000","-5000","-5000","","","","","",""
"348928","","","","606","606","606","","","","","","","","",""
"350400","","","","-5000","-5000","-5000","","","","","","","","",""
"353152","","","","4481","4481","4481","","","","","","","","",""
"369664","","","","-5000","-5000","-5000","","","","","","","","",""
"372288","","","","4182","4182","4182","","","","","","","","",""
"375424","","","","4609","4609","4609","","","","","","","","",""
"381696","","","","","","","-5000","-5000","-5000","","","","","",""
"384064","","","","-5000","-5000","-5000","","","","","","","","",""
"386752","","","","-5000","-5000","-5000","","","","","","","","",""
"388096","","","","","","","","","","-5000","-5000","-5000","","",""
"389824","","","","","","","","","","-5000","-5000","-5000","","",""
"390656","","","","-5000","-5000","-5000","","","","","","","","",""
"393344","","","","","","","","","","-5000","-5000","-5000","","",""
"394240","","","","-5000","-5000","-5000","","","","","","","","",""
"398016","","","","-5000","-5000","-5000","","","","","","","","",""
"399424","","","","","","","","","","-5000","-5000","-5000","","",""
"400064","","","","","","","","","","-5000","-5000","-5000","","",""
"401600","","","","-5000","-5000","-5000","","","","","","","","",""
"405504","","","","","","","","","","-5000","-5000","-5000","","",""
"407296","","","","","","","","","","-5000","-5000","-5000","","",""
"407616","","","","","","","","","","-5000","-5000","-5000","","",""
"410048","","","","-5000","-5000","-5000","","","","","","","","",""
"418368","","","","","","","","","","-5000","-5000","-5000","","",""
"418816","","","","-5000","-5000","-5000","","","","","","","","",""
"420160","","","","-5000","-5000","-5000","","","","","","","","",""
"421376","","","","-5000","-5000","-5000","","","","","","","","",""
"433344","","","","-5000","-5000","-5000","","","","","","","","",""
"436416","","","","-5000","-5000","-5000","","","","","","","","",""
"437120","","","","-5000","-5000","-5000","","","","","","","","",""
"443968","","","","","","","","","","-5000","-5000","-5000","","",""
"460416","2805","2805","2805","","","","","","","","","","","",""
"484928","2422","2422","2422","","","","","","","","","","","",""
"486016","2405","2405","2405","","","","","","","","","","","",""
"486656","735","735","735","","","","","","","","","","","",""
"487104","2388","2388","2388","","","","","","","","","","","",""
"488640","","","","","","","","","","","","","-5000","-5000","-5000"
"489152","","","","","","","","","","","","","2356","2356","2356"
"489856","2345","2345","2345","","","","","","","","","","","",""
"491712","755","755","755","","","","","","","","","","","",""
"493632","2286","2286","2286","","","","","","","","","","","",""
"499904","2188","2188","2188","","","","","","","","","","","",""
"500288","","","","","","","","","","","","","741","741","741"
"511744","2810","2810","2810","","","","","","","","","","","",""
"515264","","","","","","","","","","2761","2761","2761","","",""
"529472","-5000","-5000","-5000","","","","","","","","","","","",""
"529664","","","","","","","","","","1723","1723","1723","","",""
"534144","-5000","-5000","-5000","","","","","","","","","","","",""
"537280","-5000","-5000","-5000","","","","","","","","","","","",""
"537536","3583","3583","3583","","","","","","","","","","","",""
"548032","","","","","","","","","","2906","2906","2906","","",""
"550080","","","","","","","","","","1404","1404","1404","","",""
"550144","-5000","-5000","-5000","","","","","","","","","","","",""
"555968","","","","","","","-5000","-5000","-5000","","","","","",""
"581760","","","","","","","-5000","-5000","-5000","","","","","",""
"583168","3699","3699","3699","","","","","","","","","","","",""
"584448","","","","","","","-5000","-5000","-5000","","","","","",""
"588416","","","","","","","-5000","-5000","-5000","","","","","",""
"589184","","","","","","","-5000","-5000","-5000","","","","","",""
"591424","","","","","","","-5000","-5000","-5000","","","","","",""
"593984","","","","-5000","-5000","-5000","","","","","","","","",""
"597120","","","","","","","","","","","","","669","669","669"
"597568","4058","4058","4058","","","","","","","","","","","",""
"607488","","","","","","","-5000","-5000","-5000","","","","","",""
"611456","","","","","","","-5000","-5000","-5000","","","","","",""
"613632","","","","","","","-5000","-5000","-5000","","","","","",""
"622400","","","","","","","-5000","-5000","-5000","","","","","",""
"623872","251","251","251","","","","","","","","","","","",""
"624256","","","","","","","-5000","-5000","-5000","","","","","",""
"630208","","","","","","","-5000","-5000","-5000","","","","","",""
"633408","","","","","","","-5000","-5000","-5000","","","","","",""
"633984","","","","","","","-5000","-5000","-5000","","","","","",""
"635648","","","","","","","-5000","-5000","-5000","","","","","",""
"639936","","","","-5000","-5000","-5000","-5000","-5000","-5000","","","","","",""
"640192","2463","2463","2463","","","","","","","","","","","",""
