2023/02/15 08:45:57 PM Namespace(alpha=0.5, cuda=True, dilation_manager=10, dilation_supervisor=5, entropy_coef=0.01, env_name='MiniGrid-FourRooms-v0', eps=0, gamma_m=0.99, gamma_s=0.95, gamma_w=0.9, grad_clip=5.0, hidden_dim_manager=120, hidden_dim_supervisor=60, hidden_dim_worker=16, lr=0.0005, max_steps=10000000, mlp=0, num_steps=400, num_workers=16, run_name='baseline_seed=0', seed=0, time_horizon_manager=10, time_horizon_supervisor=5, whole=1)
2023/02/15 08:46:19 PM > ep = 1 | total steps = 31984 | reward = 0 | length = 2000 | hours = 0.006
2023/02/15 08:46:19 PM > ep = 2 | total steps = 31984 | reward = 0 | length = 2000 | hours = 0.006
2023/02/15 08:46:19 PM > ep = 3 | total steps = 31984 | reward = 0 | length = 2000 | hours = 0.006
2023/02/15 08:46:19 PM > ep = 4 | total steps = 31984 | reward = 0 | length = 2000 | hours = 0.006
2023/02/15 08:46:19 PM > ep = 5 | total steps = 31984 | reward = 0 | length = 2000 | hours = 0.006
2023/02/15 08:46:19 PM > ep = 6 | total steps = 31984 | reward = 0 | length = 2000 | hours = 0.006
2023/02/15 08:46:19 PM > ep = 7 | total steps = 31984 | reward = 0 | length = 2000 | hours = 0.006
2023/02/15 08:46:19 PM > ep = 8 | total steps = 31984 | reward = 0 | length = 2000 | hours = 0.006
2023/02/15 08:46:19 PM > ep = 9 | total steps = 31984 | reward = 0 | length = 2000 | hours = 0.006
2023/02/15 08:46:19 PM > ep = 10 | total steps = 31984 | reward = 0 | length = 2000 | hours = 0.006
2023/02/15 08:46:19 PM > ep = 11 | total steps = 31984 | reward = 0 | length = 2000 | hours = 0.006
2023/02/15 08:46:19 PM > ep = 12 | total steps = 31984 | reward = 0 | length = 2000 | hours = 0.006
2023/02/15 08:46:19 PM > ep = 13 | total steps = 31984 | reward = 0 | length = 2000 | hours = 0.006
2023/02/15 08:46:19 PM > ep = 14 | total steps = 31984 | reward = 0 | length = 2000 | hours = 0.006
2023/02/15 08:46:19 PM > ep = 15 | total steps = 31984 | reward = 0 | length = 2000 | hours = 0.006
2023/02/15 08:46:19 PM > ep = 16 | total steps = 31984 | reward = 0 | length = 2000 | hours = 0.006
2023/02/15 08:46:34 PM > ep = 17 | total steps = 54192 | reward = 0.37540000000000007 | length = 1388 | hours = 0.010
